127.0.0.1 - - [20/Jun/2016:12:10:33 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Jun/2016:12:10:34 +0700] "GET /kshrdcontactlist/index.jsp HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [20/Jun/2016:13:22:26 +0700] "GET /kshrdcontactlist/index.jsp HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [20/Jun/2016:13:22:27 +0700] "GET /kshrdcontactlist/mystyle.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [20/Jun/2016:13:22:28 +0700] "GET /kshrdcontactlist/index.jsp HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [20/Jun/2016:13:22:28 +0700] "GET /kshrdcontactlist/mystyle.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [20/Jun/2016:13:22:39 +0700] "GET /kshrdcontactlist/index.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [20/Jun/2016:13:22:39 +0700] "GET /kshrdcontactlist/style.css HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [20/Jun/2016:13:22:39 +0700] "GET /kshrdcontactlist/index.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [20/Jun/2016:13:22:39 +0700] "GET /kshrdcontactlist/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2016:13:22:40 +0700] "GET /kshrdcontactlist/index.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [20/Jun/2016:13:22:40 +0700] "GET /kshrdcontactlist/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2016:13:22:40 +0700] "GET /kshrdcontactlist/index.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [20/Jun/2016:13:22:40 +0700] "GET /kshrdcontactlist/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2016:13:22:40 +0700] "GET /kshrdcontactlist/index.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [20/Jun/2016:13:22:40 +0700] "GET /kshrdcontactlist/style.css HTTP/1.1" 304 -
